ds,y
2020-05-03 23:57:54.703000069,38551
2020-05-03 23:58:54.703000069,38553
2020-05-03 23:59:54.701999903,38555
2020-05-04 00:00:54.703000069,38557
2020-05-04 00:01:54.703000069,38559
2020-05-04 00:02:54.703000069,38561
2020-05-04 00:03:54.701999903,38563
2020-05-04 00:04:54.703000069,38565
2020-05-04 00:05:54.703000069,38567
2020-05-04 00:06:54.703000069,38569
2020-05-04 00:07:54.703000069,38571
2020-05-04 00:08:54.703000069,38573
2020-05-04 00:09:54.703000069,38575
2020-05-04 00:10:54.703000069,38577
2020-05-04 00:11:54.703000069,38579
2020-05-04 00:12:54.703000069,38581
2020-05-04 00:13:54.703000069,38583
2020-05-04 00:14:54.703000069,38585
2020-05-04 00:15:54.703000069,38587
2020-05-04 00:16:54.703000069,38589
2020-05-04 00:17:54.703000069,38591
2020-05-04 00:18:54.703000069,38593
2020-05-04 00:19:54.703000069,38595
2020-05-04 00:20:54.703000069,38597
2020-05-04 00:21:54.701999903,38599
2020-05-04 00:22:54.703000069,38601
2020-05-04 00:23:54.703000069,38603
2020-05-04 00:24:54.703000069,38605
2020-05-04 00:25:54.703000069,38607
2020-05-04 00:26:54.703000069,38609
2020-05-04 00:27:54.703000069,38611
2020-05-04 00:28:54.703000069,38613
2020-05-04 00:29:54.703000069,38615
2020-05-04 00:30:54.703000069,38617
2020-05-04 00:31:54.701999903,38619
2020-05-04 00:32:54.701999903,38621
2020-05-04 00:33:54.703000069,38623
2020-05-04 00:34:54.703000069,38625
2020-05-04 00:35:54.703000069,38627
2020-05-04 00:36:54.703000069,38629
2020-05-04 00:37:54.703000069,38631
2020-05-04 00:38:54.703000069,38633
2020-05-04 00:39:54.703000069,38635
2020-05-04 00:40:54.703000069,38637
2020-05-04 00:41:54.703000069,38639
2020-05-04 00:42:54.703000069,38641
2020-05-04 00:43:54.703000069,38643
2020-05-04 00:44:54.703000069,38645
2020-05-04 00:45:54.703000069,38647
2020-05-04 00:46:54.703000069,38649
2020-05-04 00:47:54.703000069,38651
2020-05-04 00:48:54.703000069,38653
2020-05-04 00:49:54.703000069,38655
2020-05-04 00:50:54.703000069,38657
2020-05-04 00:51:54.703000069,38659
2020-05-04 00:52:54.703000069,38661
2020-05-04 00:53:54.703000069,38663
2020-05-04 00:54:54.703000069,38665
2020-05-04 00:55:54.703000069,38667
2020-05-04 00:56:54.703000069,38669
2020-05-04 00:57:54.701999903,38671
2020-05-04 00:58:54.703000069,38673
2020-05-04 00:59:54.701999903,38675
2020-05-04 01:00:54.703000069,38677
2020-05-04 01:01:54.703000069,38679
2020-05-04 01:02:54.703000069,38681
2020-05-04 01:03:54.703000069,38683
2020-05-04 01:04:54.703000069,38685
2020-05-04 01:05:54.703000069,38687
2020-05-04 01:06:54.703000069,38689
2020-05-04 01:07:54.703000069,38691
2020-05-04 01:08:54.703000069,38693
2020-05-04 01:09:54.703000069,38695
2020-05-04 01:10:54.701999903,38697
2020-05-04 01:11:54.703000069,38699
2020-05-04 01:12:54.703000069,38701
2020-05-04 01:13:54.703000069,38703
2020-05-04 01:14:54.701999903,38705
2020-05-04 01:15:54.703000069,38707
2020-05-04 01:16:54.703000069,38709
2020-05-04 01:17:54.703000069,38711
2020-05-04 01:18:54.703000069,38713
2020-05-04 01:19:54.703000069,38715
2020-05-04 01:20:54.703000069,38717
2020-05-04 01:21:54.703000069,38719
2020-05-04 01:22:54.703000069,38721
2020-05-04 01:23:54.703000069,38723
2020-05-04 01:24:54.703000069,38725
2020-05-04 01:25:54.703000069,38727
2020-05-04 01:26:54.703000069,38729
2020-05-04 01:27:54.703000069,38731
2020-05-04 01:28:54.703000069,38733
2020-05-04 01:29:54.703000069,38735
2020-05-04 01:30:54.703000069,38737
2020-05-04 01:31:54.703000069,38739
2020-05-04 01:32:54.703000069,38741
2020-05-04 01:33:54.703000069,38743
2020-05-04 01:34:54.701999903,38745
2020-05-04 01:35:54.703000069,38747
2020-05-04 01:36:54.703000069,38749
2020-05-04 01:37:54.703000069,38751
2020-05-04 01:38:54.703000069,38753
2020-05-04 01:39:54.703000069,38755
2020-05-04 01:40:54.701999903,38757
2020-05-04 01:41:54.703000069,38759
2020-05-04 01:42:54.703000069,38761
2020-05-04 01:43:54.703000069,38763
2020-05-04 01:44:54.701999903,38765
2020-05-04 01:45:54.701999903,38767
2020-05-04 01:46:54.703000069,38769
2020-05-04 01:47:54.703000069,38771
2020-05-04 01:48:54.701999903,38773
2020-05-04 01:49:54.703000069,38775
2020-05-04 01:50:54.703000069,38777
2020-05-04 01:51:54.703000069,38779
2020-05-04 01:52:54.703000069,38781
2020-05-04 01:53:54.703000069,38783
2020-05-04 01:54:54.701999903,38785
2020-05-04 01:55:54.703000069,38787
2020-05-04 01:56:54.703000069,38789
2020-05-04 01:57:54.703000069,38791
2020-05-04 01:58:54.703000069,38793
2020-05-04 01:59:54.703000069,38795
2020-05-04 02:00:54.703000069,38797
2020-05-04 02:01:54.703000069,38799
2020-05-04 02:02:54.703000069,38801
2020-05-04 02:03:54.701999903,38803
2020-05-04 02:04:54.703000069,38805
2020-05-04 02:05:54.703000069,38807
2020-05-04 02:06:54.701999903,38809
2020-05-04 02:07:54.701999903,38811
2020-05-04 02:08:54.703000069,38813
2020-05-04 02:09:54.701999903,38815
2020-05-04 02:10:54.703000069,38817
2020-05-04 02:11:54.703000069,38819
2020-05-04 02:12:54.703000069,38821
2020-05-04 02:13:54.703000069,38823
2020-05-04 02:14:54.701999903,38825
2020-05-04 02:15:54.703000069,38827
2020-05-04 02:16:54.703000069,38829
2020-05-04 02:17:54.703000069,38831
2020-05-04 02:18:54.703000069,38833
2020-05-04 02:19:54.703000069,38835
2020-05-04 02:20:54.701999903,38837
2020-05-04 02:21:54.703000069,38839
2020-05-04 02:22:54.703000069,38841
2020-05-04 02:23:54.703000069,38843
2020-05-04 02:24:54.703000069,38845
2020-05-04 02:25:54.703000069,38847
2020-05-04 02:26:54.703000069,38849
2020-05-04 02:27:54.701999903,38851
2020-05-04 02:28:54.703000069,38853
2020-05-04 02:29:54.703000069,38855
2020-05-04 02:30:54.703000069,38857
2020-05-04 02:31:54.703000069,38859
2020-05-04 02:32:54.703000069,38861
2020-05-04 02:33:54.703000069,38863
2020-05-04 02:34:54.703000069,38865
2020-05-04 02:35:54.701999903,38867
2020-05-04 02:36:54.703000069,38869
2020-05-04 02:37:54.703000069,38871
2020-05-04 02:38:54.703000069,38873
2020-05-04 02:39:54.703000069,38875
2020-05-04 02:40:54.703000069,38877
2020-05-04 02:41:54.703000069,38879
2020-05-04 02:42:54.703000069,38881
2020-05-04 02:43:54.701999903,38883
2020-05-04 02:44:54.703000069,38885
2020-05-04 02:45:54.703000069,38887
2020-05-04 02:46:54.703000069,38889
2020-05-04 02:47:54.703000069,38891
2020-05-04 02:48:54.701999903,38893
2020-05-04 02:49:54.703000069,38895
2020-05-04 02:50:54.701999903,38897
2020-05-04 02:51:54.703000069,38899
2020-05-04 02:52:54.703000069,38901
2020-05-04 02:53:54.701999903,38903
2020-05-04 02:54:54.703000069,38905
2020-05-04 02:55:54.701999903,38907
2020-05-04 02:56:54.703000069,38909
2020-05-04 02:57:54.703000069,38911
2020-05-04 02:58:54.703000069,38913
2020-05-04 02:59:54.701999903,38915
2020-05-04 03:00:54.703000069,38917
2020-05-04 03:01:54.701999903,38919
2020-05-04 03:02:54.701999903,38921
2020-05-04 03:03:54.703000069,38923
2020-05-04 03:04:54.703000069,38925
2020-05-04 03:05:54.703000069,38927
2020-05-04 03:06:54.703000069,38929
2020-05-04 03:07:54.703000069,38931
2020-05-04 03:08:54.703000069,38933
2020-05-04 03:09:54.701999903,38935
2020-05-04 03:10:54.703000069,38937
2020-05-04 03:11:54.701999903,38939
2020-05-04 03:12:54.703000069,38941
2020-05-04 03:13:54.703000069,38943
2020-05-04 03:14:54.703000069,38945
2020-05-04 03:15:54.703000069,38947
2020-05-04 03:16:54.703000069,38949
2020-05-04 03:17:54.703000069,38951
2020-05-04 03:18:54.703000069,38953
2020-05-04 03:19:54.703000069,38955
2020-05-04 03:20:54.703000069,38957
2020-05-04 03:21:54.703000069,38959
2020-05-04 03:22:54.703000069,38961
2020-05-04 03:23:54.701999903,38963
2020-05-04 03:24:54.703000069,38965
2020-05-04 03:25:54.703000069,38967
2020-05-04 03:26:54.703000069,38969
2020-05-04 03:27:54.703000069,38971
2020-05-04 03:28:54.703000069,38973
2020-05-04 03:29:54.701999903,38975
2020-05-04 03:30:54.703000069,38977
2020-05-04 03:31:54.703000069,38979
2020-05-04 03:32:54.703000069,38981
2020-05-04 03:33:54.703000069,38983
2020-05-04 03:34:54.703000069,38985
2020-05-04 03:35:54.703000069,38987
2020-05-04 03:36:54.703000069,38989
2020-05-04 03:37:54.703000069,38991
2020-05-04 03:38:54.703000069,38993
2020-05-04 03:39:54.703000069,38995
2020-05-04 03:40:54.703000069,38997
2020-05-04 03:41:54.703000069,38999
2020-05-04 03:42:54.703000069,39001
2020-05-04 03:43:54.703000069,39003
2020-05-04 03:44:54.703000069,39005
2020-05-04 03:45:54.703000069,39007
2020-05-04 03:46:54.703000069,39009
2020-05-04 03:47:54.703000069,39011
2020-05-04 03:48:54.703000069,39013
2020-05-04 03:49:54.703000069,39015
2020-05-04 03:50:54.703000069,39017
2020-05-04 03:51:54.701999903,39019
2020-05-04 03:52:54.703000069,39021
2020-05-04 03:53:54.703000069,39023
2020-05-04 03:54:54.703000069,39025
2020-05-04 03:55:54.703000069,39027
2020-05-04 03:56:54.703000069,39029
2020-05-04 03:57:54.703000069,39031
2020-05-04 03:58:54.703000069,39033
2020-05-04 03:59:54.703000069,39035
2020-05-04 04:00:54.703000069,39037
2020-05-04 04:01:54.703000069,39039
2020-05-04 04:02:54.701999903,39041
2020-05-04 04:03:54.703000069,39043
2020-05-04 04:04:54.701999903,39045
2020-05-04 04:05:54.701999903,39047
2020-05-04 04:06:54.701999903,39049
2020-05-04 04:07:54.703000069,39051
